id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
340193,DZ-0002,small_airport,"Gara Djebilet Airport",26.88352,-7.16477,,AF,Algeria,DZ,"Tindouf Province",DZ-37,37,"Âouinet Bel Egrâ",0,,,,,,,50,2021-01-26T00:46:15+00:00
314958,DAAF,small_airport,"Aoulef Airport",27.0624,1.1111,1017,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Aoulef,0,DAAF,,,,,,50,2015-07-11T08:59:52+00:00
340194,DZ-0004,small_airport,"Béni Abbès Airport",30.12558,-2.13726,,AF,Algeria,DZ,"Béchar Province",DZ-08,08,"Béni Abbès",0,,,BBS,,,,50,2021-01-26T00:50:13+00:00
30873,DAAW,small_airport,"Bordj Omar Driss Airport",28.131399,6.83361,1207,AF,Algeria,DZ,"Illizi Province",DZ-33,33,"Bordj Omar Driss",0,DAAW,,,,https://en.wikipedia.org/wiki/Bordj_Omar_Driss_Airport,,50,2024-05-18T14:54:18+00:00
312616,DAAX,small_airport,"Chéraga Airport",36.7782,2.9284,396,AF,Algeria,DZ,"Algiers Province",DZ-16,16,Chéraga,0,DAAX,,,,,,50,2022-09-13T13:53:04+00:00
430144,DZ-0018,small_airport,"El Merk Airport",30.30442,8.16308,,AF,Algeria,DZ,"Illizi Province",DZ-33,33,Debdeb,0,,,,,,,50,2022-09-26T02:59:54+00:00
302293,DAFI,small_airport,"Tsletsi Airport",34.6657,3.351,3753,AF,Algeria,DZ,"Djelfa Province",DZ-17,17,Djelfa,0,DAFI,QDJ,,,https://en.wikipedia.org/wiki/Tsletsi_Airport,,50,2016-06-02T08:14:22+00:00
2147,DA12,small_airport,"El Abiodh Sidi Cheikh Airport",32.898499,0.524694,2965,AF,Algeria,DZ,"El Bayadh Province",DZ-32,32,"El Abiodh Sidi Cheikh",0,DA12,,DA12,,,,50,2021-02-23T14:38:11+00:00
300333,DAOY,small_airport,"El Bayadh Airport",33.721667,1.0925,4493,AF,Algeria,DZ,"El Bayadh Province",DZ-32,32,"El Bayadh",0,DAOY,EBH,,,https://en.wikipedia.org/wiki/El_Bayadh_Airport,,50,2024-04-07T13:38:24+00:00
430151,DZ-0024,small_airport,"Bir H'Med Airport",31.5822,8.23678,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"El Borma",0,,,,,,,50,2022-09-26T03:19:41+00:00
430152,DZ-0025,small_airport,"Rhoud El Baguel Airport",31.3859,6.95362,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"El Borma",0,,,,,,,50,2022-09-26T03:20:52+00:00
430150,DZ-0023,small_airport,"El Borma Ouargla Airport",31.57946,9.12337,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"El Borma",0,,,,,,,50,2022-09-26T03:15:58+00:00
430143,DZ-0017,small_airport,"Menzel Lejmat Nord Airport",30.33557,7.834783,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"El Borma",0,,,,,,,50,2022-09-26T02:59:21+00:00
2146,DA11,small_airport,"Hamaguir Airport",30.879,-3.06775,2454,AF,Algeria,DZ,"Béchar Province",DZ-08,08,Hamaguir,0,DA11,,DA11,,,,50,2021-02-23T14:15:49+00:00
430146,DZ-0019,small_airport,"Hassi Bel Guebour Airport",28.68354,6.49767,,AF,Algeria,DZ,"Illizi Province",DZ-33,33,"Hassi Bel Guebour",0,,,,,,,50,2022-09-26T03:08:32+00:00
312635,DZ-0001,small_airport,"Hamra Airport",29.221376,6.48863,,AF,Algeria,DZ,"Illizi Province",DZ-33,33,"Hassi Bel Guebour",0,,,,,,,50,2022-09-27T14:48:31+00:00
430154,DZ-0027,small_airport,"Hassi Fehal Airport",31.68858,3.71568,,AF,Algeria,DZ,"Ghardaïa Province",DZ-47,47,"Hassi Fehal",0,,,,,,,50,2022-09-26T03:31:13+00:00
